[12:48:32,519  WARN BaseXMLWriter:96] - The URI rdf:li cannot be serialized in RDF/XML.
[10:01:29,402 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,405 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,406 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,433 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,434 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,434 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,453 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,453 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,462 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,463 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,463 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,464 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,464 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,498 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,500 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,500 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,501 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,501 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,508 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,508 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,509 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,509 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,510 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,522 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,522 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,523 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,523 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} Multiple children of property element
[10:01:29,524 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 12 column 95): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,549 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 4 column 93): {E201} rdf:parseType not allowed as attribute here.
[10:01:29,550 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} Multiple children of property element
[10:01:29,550 ERROR RDFDefaultErrorHandler:40] - http://www.cellml.org/cellml/1.1#(line 8 column 97): {E201} rdf:parseType not allowed as attribute here.
